product_code,name,category,price,description
P001,iPhone 15 Pro,smartphone,1600000,Premium flagship smartphone with A17 Pro chip and titanium body
P002,Galaxy Book 4,laptop,1200000,Samsung 14 inch laptop with Intel Core Ultra and 16GB RAM
P003,Shin Ramyun,noodles,2500,Spicy Korean instant ramen noodles beef broth flavor
P004,Jerky Beef,snack,15000,Air dried beef jerky Korean style with soy sauce glaze
P005,CLA Sheet Mask,cosmetics,30000,Hydrating facial sheet mask with centella extract pack of ten
P006,MacBook Air M3,laptop,1800000,Apple 13 inch laptop with M3 chip and 18 hour battery life
P007,Kimchi Jjigae Mix,food,4500,Spicy Korean kimchi stew ready mix just add pork
P008,AirPods Pro 2,audio,320000,Active noise cancellation wireless earbuds with USB C
P009,Yuzu Tea,beverage,12000,Korean citron honey tea jar 1kg for hot or cold drinks
P010,Instant Bulgogi,food,8000,Marinated Korean barbecue beef ready to cook 500g
